																																					
																																					
																																					
Best Site Target ID	Best Site Target Name	Best Site ID	Best Site Name	Best Site Address 1	Best Site City	Best Site State	Best Site Postal Code	Best Site Country	Serial Number	Instance ID	Parent Instance ID	Service Bill to Name	Product Bill to Name	VMS	VMS Subgroup	Shipped Date	LDoS	End of Product Sale Date	Contract #	Contract Status	Contract End Date	Product ID	Architecture Group	Architecture Sub Group	Product Family	Product Subgroup	Product Type	Product Net $	SKU List $	Product SO	Product PO	Coverage	CPL ID	KTN Engagement Type	KTN Network Collected	Default Service List $	Service SKU List $
15417	"VOLKSWAGEN GROUP OF AMERICA, INC."	1002413556	VOLKSWAGEN GROUP OF AMERICA IN	500 CLIPPER DR	BELMONT	CA	94002	UNITED STATES	FTT194901TF	1754583081	1754582932	SHI INTERNATIONAL CORP.	TECH DATA PRODUCT MANAGEMENT INC	Wholesale/Distribution	Wholesale/Distribution	1/11/16	<NULL>	<NULL>	95504813	ACTIVE	2/15/17	CTS-SX20CODEC-K9	Collaboration	TP Endpoints	CTSQS	QS SER	CHASSIS	0.00	0.00	101686595	4501541242	Covered	57721931938	<NULL>		0.00	0.00
15417	"VOLKSWAGEN GROUP OF AMERICA, INC."	1002413556	VOLKSWAGEN GROUP OF AMERICA IN	500 CLIPPER DR	BELMONT	CA	94002	UNITED STATES	A1AB49100066	1754583094	1754582932	SHI INTERNATIONAL CORP.	TECH DATA PRODUCT MANAGEMENT INC	Wholesale/Distribution	Wholesale/Distribution	1/11/16	<NULL>	<NULL>	95504813	ACTIVE	2/15/17	CTS-PHD1080P12XS2+	Collaboration	TP Endpoints	CTSINT	CAM SER	CHASSIS	0.00	0.00	101686595	4501541242	Covered	57721932008	<NULL>		0.00	0.00
15417	"VOLKSWAGEN GROUP OF AMERICA, INC."	1002413556	VOLKSWAGEN GROUP OF AMERICA IN	500 CLIPPER DR	BELMONT	CA	94002	UNITED STATES	GET194701UO	1754583100	1754582932	SHI INTERNATIONAL CORP.	TECH DATA PRODUCT MANAGEMENT INC	Wholesale/Distribution	Wholesale/Distribution	1/11/16	<NULL>	<NULL>	95504813	ACTIVE	2/15/17	CTS-QSC20-MIC+	Collaboration	TP Endpoints	CTSQS	QS SER	CHASSIS	0.00	0.00	101686595	4501541242	Covered	57721932120	<NULL>		0.00	0.00
15417	"VOLKSWAGEN GROUP OF AMERICA, INC."	1002413556	VOLKSWAGEN GROUP OF AMERICA IN	500 CLIPPER DR	BELMONT	CA	94002	UNITED STATES	<NULL>	1754583046	1754582932	SHI INTERNATIONAL CORP.	TECH DATA PRODUCT MANAGEMENT INC	Wholesale/Distribution	Wholesale/Distribution	1/11/16	<NULL>	<NULL>	95504813	ACTIVE	2/15/17	LIC-SX20-DD	Collaboration	TP Endpoints	CTSQS	SYSTEM	SOFTWARE	0.00	0.00	101686595	4501541242	Covered	57721931691	<NULL>		0.00	0.00
15417	"VOLKSWAGEN GROUP OF AMERICA, INC."	1002413556	VOLKSWAGEN GROUP OF AMERICA IN	500 CLIPPER DR	BELMONT	CA	94002	UNITED STATES	<NULL>	1754582991	1754582932	SHI INTERNATIONAL CORP.	TECH DATA PRODUCT MANAGEMENT INC	Wholesale/Distribution	Wholesale/Distribution	1/11/16	<NULL>	<NULL>	95504813	ACTIVE	2/15/17	CAB-2HDMI-3M	Collaboration	TP Endpoints	CTSQS	SYSTEM	CABLE	0.00	0.00	101686595	4501541242	Covered	57721931414	<NULL>		0.00	0.00
15417	"VOLKSWAGEN GROUP OF AMERICA, INC."	1002413556	VOLKSWAGEN GROUP OF AMERICA IN	500 CLIPPER DR	BELMONT	CA	94002	UNITED STATES	<NULL>	1754583014	1754582932	SHI INTERNATIONAL CORP.	TECH DATA PRODUCT MANAGEMENT INC	Wholesale/Distribution	Wholesale/Distribution	1/11/16	<NULL>	<NULL>	95504813	ACTIVE	2/15/17	LIC-S52010-TC-K9	Collaboration	TP Endpoints	CTSQS	SYSTEM	SOFTWARE	0.00	0.00	101686595	4501541242	Covered	57721931501	<NULL>		0.00	0.00
15417	"VOLKSWAGEN GROUP OF AMERICA, INC."	1002413556	VOLKSWAGEN GROUP OF AMERICA IN	500 CLIPPER DR	BELMONT	CA	94002	UNITED STATES	WOO193400JP	1754583068	1754582932	SHI INTERNATIONAL CORP.	TECH DATA PRODUCT MANAGEMENT INC	Wholesale/Distribution	Wholesale/Distribution	1/11/16	<NULL>	<NULL>	95504813	ACTIVE	2/15/17	CTS-RMT-TRC5	Collaboration	TP Endpoints	CTSINT	SYSTEM	CARD	0.00	0.00	101686595	4501541242	Covered	57721931869	<NULL>		0.00	0.00
15417	"VOLKSWAGEN GROUP OF AMERICA, INC."	1002413556	VOLKSWAGEN GROUP OF AMERICA IN	500 CLIPPER DR	BELMONT	CA	94002	UNITED STATES	<NULL>	1754582932	<NULL>	SHI INTERNATIONAL CORP.	TECH DATA PRODUCT MANAGEMENT INC	Wholesale/Distribution	Wholesale/Distribution	1/11/16	<NULL>	<NULL>	95504813	ACTIVE	2/15/17	CTS-SX20-PHD12X-K9	Collaboration	TP Endpoints	CTSQS	SX20	CHASSIS	6902.00	11900.00	101686595	4501541242	Covered	57721931160	<NULL>		870.00	1071.00
15417	"VOLKSWAGEN GROUP OF AMERICA, INC."	1002413556	VOLKSWAGEN GROUP OF AMERICA IN	500 CLIPPER DR	BELMONT	CA	94002	UNITED STATES	<NULL>	1754582978	1754582932	SHI INTERNATIONAL CORP.	TECH DATA PRODUCT MANAGEMENT INC	Wholesale/Distribution	Wholesale/Distribution	1/11/16	<NULL>	<NULL>	95504813	ACTIVE	2/15/17	LIC-SX20	Collaboration	TP Endpoints	CTSQS	SYSTEM	SOFTWARE	0.00	0.00	101686595	4501541242	Covered	57721931384	<NULL>		0.00	0.00
15417	"VOLKSWAGEN GROUP OF AMERICA, INC."	1002413556	VOLKSWAGEN GROUP OF AMERICA IN	500 CLIPPER DR	BELMONT	CA	94002	UNITED STATES	<NULL>	1754582966	1754582932	SHI INTERNATIONAL CORP.	TECH DATA PRODUCT MANAGEMENT INC	Wholesale/Distribution	Wholesale/Distribution	1/11/16	<NULL>	<NULL>	95504813	ACTIVE	2/15/17	LIC-SX20-NPP	Collaboration	TP Endpoints	CTSQS	SYSTEM	SOFTWARE	0.00	0.00	101686595	4501541242	Covered	57721931310	<NULL>		0.00	0.00
